distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,cadence,calories,descent,enhanced_altitude,grade,power,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
255.58,6.288,3,50.5148284,-84.8091028,6.288,2022-08-23 21:05:27,27.0,0.0,,78.0,6.0,0.0,27.0,0.0,410.0,25.5,47.0,91.0,28.5,97.5,22.0,2022,8,23,21,2.12,172.0
261.85,6.396,3,50.5147842,-84.8090299,6.396,2022-08-23 21:05:28,27.0,0.0,,81.0,6.0,0.0,27.0,0.0,396.0,25.5,44.0,94.0,25.0,95.5,22.0,2022,8,23,21,2.12,172.0
267.76,6.795,3,50.5147455,-84.8089643,6.795,2022-08-23 21:05:29,27.0,0.0,,84.0,6.0,0.0,27.0,0.0,374.0,25.0,45.0,93.0,24.5,94.0,22.0,2022,8,23,21,2.12,172.0
273.6,6.973,3,50.5147087,-84.8088997,6.973,2022-08-23 21:05:30,26.799999999999955,0.0,,82.0,7.0,0.0,26.799999999999955,0.0,348.0,24.0,46.0,88.5,25.5,91.5,22.0,2022,8,23,21,2.12,172.0
279.03,6.358,3,50.5146786,-84.8088291,6.358,2022-08-23 21:05:31,26.600000000000023,0.0,,67.0,7.0,0.0,26.600000000000023,0.0,331.0,22.5,48.0,82.5,25.0,87.5,22.0,2022,8,23,21,2.12,172.0
283.98,5.569,3,50.5146612,-84.8087634,5.569,2022-08-23 21:05:32,26.399999999999977,0.0,,53.0,7.0,0.0,26.399999999999977,0.0,314.0,20.5,47.0,76.5,24.5,84.0,22.0,2022,8,23,21,2.12,172.0
288.8,4.931,2,50.5146379,-84.8086998,4.931,2022-08-23 21:05:33,26.399999999999977,0.0,,38.0,7.0,0.0,26.399999999999977,0.0,296.0,18.5,30.0,71.0,24.0,80.0,22.0,2022,8,23,21,2.12,172.0
293.8,4.757,2,50.5146202,-84.8086291,4.757,2022-08-23 21:05:34,26.399999999999977,0.0,,25.0,7.0,0.0,26.399999999999977,0.0,146.0,15.0,13.0,66.0,21.0,74.5,22.0,2022,8,23,21,2.12,172.0
299.39,5.397,2,50.5146261,-84.8085495,5.397,2022-08-23 21:05:35,26.600000000000023,0.0,,30.0,7.0,0.0,26.600000000000023,0.0,142.0,16.5,58.0,74.0,17.5,72.0,22.0,2022,8,23,21,2.12,172.0
306.16,6.113,2,50.5146562,-84.8084609,6.113,2022-08-23 21:05:36,26.399999999999977,0.0,,60.0,8.0,0.0,26.399999999999977,0.0,128.0,24.5,89.0,94.0,16.0,77.0,22.0,2022,8,23,21,2.12,172.0
