distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,descent,enhanced_altitude,grade,cadence,calories,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
200.61,10.975,2,50.5276234,-84.8137372,10.975,2023-04-24 23:40:26,59.200000000000045,0.0,,2.0,59.200000000000045,-2.48,85.0,1.0,32.0,52.0,96.0,370.0,27.5,95.5,14.0,2023,4,24,23,2.37,28.0
211.55,11.087,2,50.5275184,-84.8136738,11.087,2023-04-24 23:40:27,58.799999999999955,0.0,,3.0,58.799999999999955,-2.62,86.0,1.0,29.0,51.0,92.5,340.0,26.0,92.0,14.0,2023,4,24,23,2.37,28.0
222.93,11.561,2,50.5274065,-84.8136029,11.561,2023-04-24 23:40:28,58.200000000000045,0.0,,3.0,58.200000000000045,-2.77,86.0,1.0,26.5,51.0,88.5,264.0,24.5,88.5,14.0,2023,4,24,23,2.37,28.0
234.48,11.673,2,50.5272903,-84.8135378,11.673,2023-04-24 23:40:29,57.60000000000002,0.0,,4.0,57.60000000000002,-2.96,86.0,2.0,25.0,54.0,87.0,254.0,23.0,85.5,14.0,2023,4,24,23,2.37,28.0
245.93,11.55,2,50.5271794,-84.8134744,11.55,2023-04-24 23:40:30,57.200000000000045,0.0,,4.0,57.200000000000045,-3.23,87.0,2.0,29.5,57.0,96.5,258.0,23.0,85.5,14.0,2023,4,24,23,2.37,28.0
257.3,11.527,2,50.5270676,-84.8134112,11.527,2023-04-24 23:40:31,56.799999999999955,0.0,,5.0,56.799999999999955,-3.53,87.0,2.0,28.0,52.0,95.0,266.0,23.0,85.5,14.0,2023,4,24,23,2.37,28.0
268.82,11.59,2,50.526952,-84.8133474,11.59,2023-04-24 23:40:32,56.60000000000002,0.0,,6.0,56.60000000000002,-3.76,87.0,2.0,25.5,51.0,87.5,274.0,24.0,90.0,14.0,2023,4,24,23,2.37,28.0
280.39,11.668,2,50.5268354,-84.8132834,11.668,2023-04-24 23:40:33,56.39999999999998,0.0,,6.0,56.39999999999998,-3.78,87.0,3.0,24.5,52.0,85.5,279.0,25.5,94.0,14.0,2023,4,24,23,2.37,28.0
291.62,11.695,2,50.5267263,-84.8132138,11.695,2023-04-24 23:40:34,56.200000000000045,0.0,,6.0,56.200000000000045,-3.53,88.0,3.0,26.5,52.0,92.5,281.0,26.5,95.0,14.0,2023,4,24,23,2.37,28.0
303.48,11.763,2,50.5266073,-84.8131534,11.763,2023-04-24 23:40:35,55.799999999999955,0.0,,7.0,55.799999999999955,-3.28,88.0,3.0,29.0,52.0,96.5,287.0,28.5,96.5,14.0,2023,4,24,23,2.37,28.0
315.09,11.699,2,50.5264887,-84.8130986,11.699,2023-04-24 23:40:36,55.60000000000002,0.0,,7.0,55.60000000000002,-2.91,88.0,4.0,26.5,51.0,92.5,303.0,27.0,96.0,14.0,2023,4,24,23,2.37,28.0
326.79,11.758,2,50.5263731,-84.8130365,11.758,2023-04-24 23:40:37,55.60000000000002,0.0,,7.0,55.60000000000002,-2.49,87.0,4.0,26.0,50.0,93.5,326.0,26.5,96.0,14.0,2023,4,24,23,2.37,28.0
338.42,11.653,2,50.5262557,-84.8129799,11.653,2023-04-24 23:40:38,55.60000000000002,0.0,,7.0,55.60000000000002,-2.07,87.0,4.0,26.0,50.0,96.5,333.0,25.0,94.0,14.0,2023,4,24,23,2.37,28.0
350.06,11.588,2,50.5261376,-84.8129254,11.588,2023-04-24 23:40:39,55.39999999999998,0.0,,8.0,55.39999999999998,-1.69,86.0,5.0,25.5,49.0,97.0,322.0,23.5,91.5,14.0,2023,4,24,23,2.37,28.0
361.48,11.261,2,50.5260193,-84.812878,11.261,2023-04-24 23:40:40,55.60000000000002,0.0,,8.0,55.60000000000002,-1.37,86.0,5.0,29.5,48.0,98.5,310.0,29.5,97.5,14.0,2023,4,24,23,2.37,28.0
372.15,10.616,2,50.5259152,-84.8128181,10.616,2023-04-24 23:40:41,55.60000000000002,0.0,,8.0,55.60000000000002,-1.05,84.0,5.0,26.0,48.0,84.5,288.0,30.0,98.0,14.0,2023,4,24,23,2.37,28.0
382.73,10.537,2,50.5258083,-84.8127617,10.537,2023-04-24 23:40:42,55.60000000000002,0.0,,8.0,55.60000000000002,-0.27,81.0,5.0,25.0,47.0,82.0,249.0,30.5,98.0,14.0,2023,4,24,23,2.37,28.0
393.04,10.222,2,50.5257025,-84.8127213,10.222,2023-04-24 23:40:43,55.60000000000002,0.0,,8.0,55.60000000000002,0.0,78.0,6.0,26.5,46.0,85.5,249.0,31.0,98.0,14.0,2023,4,24,23,2.37,28.0
403.16,10.011,2,50.5255974,-84.8126776,10.011,2023-04-24 23:40:44,55.39999999999998,0.0,,8.0,55.39999999999998,0.0,80.0,6.0,27.5,46.0,89.0,318.0,31.5,98.0,14.0,2023,4,24,23,2.37,28.0
413.27,9.858,2,50.5254953,-84.8126316,9.858,2023-04-24 23:40:45,55.39999999999998,0.0,,8.0,55.39999999999998,0.0,84.0,6.0,28.5,45.0,92.5,356.0,32.0,98.0,14.0,2023,4,24,23,2.37,28.0
423.4,10.294,2,50.5253955,-84.812579,10.294,2023-04-24 23:40:46,55.60000000000002,0.0,,8.0,55.60000000000002,0.0,88.0,7.0,30.0,47.0,96.5,390.0,28.0,92.0,14.0,2023,4,24,23,2.37,28.0
433.76,10.392,2,50.5252914,-84.8125242,10.392,2023-04-24 23:40:47,55.799999999999955,0.0,,8.0,55.799999999999955,0.0,87.0,7.0,30.5,48.0,98.0,430.0,26.5,90.0,14.0,2023,4,24,23,2.37,28.0
443.85,10.272,2,50.5251898,-84.8124712,10.272,2023-04-24 23:40:48,56.200000000000045,0.0,,8.0,56.200000000000045,0.0,87.0,8.0,30.5,49.0,97.5,408.0,26.5,90.0,14.0,2023,4,24,23,2.37,28.0
454.19,10.133,2,50.5250842,-84.8124232,10.133,2023-04-24 23:40:49,56.200000000000045,0.0,,8.0,56.200000000000045,0.0,87.0,8.0,30.0,51.0,96.5,391.0,26.0,89.5,14.0,2023,4,24,23,2.37,28.0
464.48,10.077,2,50.5249789,-84.8123703,10.077,2023-04-24 23:40:50,56.39999999999998,0.0,,8.0,56.39999999999998,0.63,87.0,8.0,29.5,52.0,95.5,378.0,26.0,89.5,14.0,2023,4,24,23,2.37,28.0
474.7,9.916,2,50.5248743,-84.8123228,9.916,2023-04-24 23:40:51,56.60000000000002,1.0,,8.0,56.60000000000002,1.03,87.0,9.0,29.0,54.0,94.5,366.0,25.5,89.5,14.0,2023,4,24,23,2.37,28.0
484.53,9.881,2,50.5247775,-84.8122777,9.881,2023-04-24 23:40:52,56.799999999999955,1.0,,8.0,56.799999999999955,1.24,85.0,9.0,29.0,55.0,94.0,324.0,25.0,89.0,14.0,2023,4,24,23,2.37,28.0
494.13,9.676,2,50.5246782,-84.8122392,9.676,2023-04-24 23:40:53,57.0,1.0,,8.0,57.0,1.42,84.0,9.0,29.0,55.0,93.0,299.0,25.0,90.0,14.0,2023,4,24,23,2.37,28.0
503.45,9.462,2,50.5245796,-84.8122102,9.462,2023-04-24 23:40:54,57.0,1.0,,8.0,57.0,1.49,83.0,10.0,30.5,54.0,93.5,288.0,26.5,94.5,14.0,2023,4,24,23,2.37,28.0
512.96,9.401,2,50.5244812,-84.8121825,9.401,2023-04-24 23:40:55,57.200000000000045,1.0,,8.0,57.200000000000045,1.45,82.0,10.0,29.5,54.0,94.5,290.0,27.5,96.5,14.0,2023,4,24,23,2.37,28.0
522.21,9.281,2,50.5243855,-84.812148,9.281,2023-04-24 23:40:56,57.200000000000045,1.0,,8.0,57.200000000000045,1.33,81.0,10.0,28.5,53.0,96.0,293.0,28.5,98.5,14.0,2023,4,24,23,2.37,28.0
531.47,9.254,2,50.5242881,-84.8121035,9.254,2023-04-24 23:40:57,57.200000000000045,1.0,,8.0,57.200000000000045,1.2,81.0,10.0,29.0,52.0,96.5,290.0,28.5,98.0,14.0,2023,4,24,23,2.37,28.0
540.71,9.435,2,50.5241966,-84.812051,9.435,2023-04-24 23:40:58,57.200000000000045,2.0,,8.0,57.200000000000045,1.09,85.0,11.0,30.5,51.0,96.0,311.0,27.5,95.0,14.0,2023,4,24,23,2.37,28.0
549.99,9.64,2,50.5241099,-84.8119896,9.64,2023-04-24 23:40:59,57.200000000000045,2.0,,8.0,57.200000000000045,0.95,91.0,11.0,29.5,49.0,94.5,368.0,27.0,94.5,14.0,2023,4,24,23,2.37,28.0
559.07,9.674,2,50.5240227,-84.8119279,9.674,2023-04-24 23:41:00,57.200000000000045,2.0,,8.0,57.200000000000045,0.8,94.0,12.0,29.0,48.0,92.5,430.0,26.5,94.0,14.0,2023,4,24,23,2.37,28.0
568.89,9.77,2,50.5239299,-84.8118559,9.77,2023-04-24 23:41:01,57.60000000000002,2.0,,8.0,57.60000000000002,0.67,94.0,12.0,28.5,46.0,90.5,419.0,26.0,93.5,13.0,2023,4,24,23,2.37,28.0
578.7,9.581,2,50.5238346,-84.8117968,9.581,2023-04-24 23:41:02,57.799999999999955,2.0,,8.0,57.799999999999955,0.7,94.0,12.0,27.5,47.0,89.0,370.0,25.5,93.5,13.0,2023,4,24,23,2.37,28.0
588.19,9.294,2,50.5237392,-84.8117565,9.294,2023-04-24 23:41:03,58.0,2.0,,8.0,58.0,0.82,93.0,13.0,27.0,49.0,87.5,358.0,25.5,93.5,13.0,2023,4,24,23,2.37,28.0
597.28,9.089,2,50.5236472,-84.811713,9.089,2023-04-24 23:41:04,58.200000000000045,2.0,,8.0,58.200000000000045,1.02,92.0,13.0,26.5,50.0,86.5,340.0,26.5,95.0,13.0,2023,4,24,23,2.37,28.0
606.39,8.662,2,50.5235546,-84.8116667,8.662,2023-04-24 23:41:05,58.39999999999998,2.0,,8.0,58.39999999999998,1.29,91.0,13.0,26.0,52.0,88.5,313.0,26.5,94.0,13.0,2023,4,24,23,2.37,28.0
614.91,8.68,3,50.5234678,-84.8116215,8.68,2023-04-24 23:41:06,58.60000000000002,2.0,,8.0,58.60000000000002,1.5,90.0,14.0,25.5,52.0,91.0,291.0,26.5,93.5,13.0,2023,4,24,23,2.37,28.0
623.58,8.886,3,50.5233782,-84.8115906,8.886,2023-04-24 23:41:07,58.799999999999955,3.0,,8.0,58.799999999999955,1.67,88.0,14.0,23.0,52.0,83.0,242.0,23.5,85.0,13.0,2023,4,24,23,2.37,28.0
632.36,8.851,3,50.5232876,-84.8115563,8.851,2023-04-24 23:41:08,59.0,3.0,,8.0,59.0,1.79,87.0,14.0,20.0,49.0,70.0,211.0,19.0,73.5,13.0,2023,4,24,23,2.37,28.0
640.86,8.585,3,50.5232011,-84.8115203,8.585,2023-04-24 23:41:09,59.200000000000045,3.0,,8.0,59.200000000000045,1.89,86.0,14.0,21.0,46.0,76.0,227.0,22.5,80.5,13.0,2023,4,24,23,2.37,28.0
649.16,8.359,3,50.5231189,-84.8114773,8.359,2023-04-24 23:41:10,59.39999999999998,3.0,,8.0,59.39999999999998,1.99,85.0,15.0,19.5,53.0,81.0,250.0,21.0,79.5,13.0,2023,4,24,23,2.37,28.0
657.39,8.375,3,50.5230358,-84.8114311,8.375,2023-04-24 23:41:11,59.60000000000002,4.0,,8.0,59.60000000000002,2.07,85.0,15.0,20.0,58.0,83.5,267.0,20.0,79.0,13.0,2023,4,24,23,2.37,28.0
665.8,8.654,3,50.5229507,-84.8113928,8.654,2023-04-24 23:41:12,59.60000000000002,4.0,,8.0,59.60000000000002,2.14,85.0,15.0,23.0,58.0,86.5,341.0,21.5,82.0,13.0,2023,4,24,23,2.37,28.0
674.43,8.62,3,50.5228638,-84.8113562,8.62,2023-04-24 23:41:13,59.799999999999955,4.0,,8.0,59.799999999999955,2.12,86.0,16.0,28.5,55.0,98.5,402.0,28.0,95.5,13.0,2023,4,24,23,2.37,28.0
683.35,8.854,3,50.5227699,-84.8113197,8.854,2023-04-24 23:41:14,60.0,4.0,,8.0,60.0,2.07,87.0,16.0,26.0,52.0,98.5,436.0,30.0,98.5,13.0,2023,4,24,23,2.37,28.0
692.09,8.684,3,50.5226825,-84.8112837,8.684,2023-04-24 23:41:15,60.200000000000045,4.0,,8.0,60.200000000000045,1.96,87.0,16.0,27.0,52.0,97.5,440.0,29.0,98.5,13.0,2023,4,24,23,2.37,28.0
701.0,8.694,3,50.522591,-84.8112395,8.694,2023-04-24 23:41:16,60.39999999999998,4.0,,8.0,60.39999999999998,1.79,87.0,17.0,25.0,47.0,85.0,328.0,26.5,94.0,13.0,2023,4,24,23,2.37,28.0
709.64,8.869,3,50.5225068,-84.8111938,8.869,2023-04-24 23:41:17,60.39999999999998,5.0,,8.0,60.39999999999998,1.62,86.0,17.0,19.5,49.0,60.5,245.0,24.0,85.5,13.0,2023,4,24,23,2.37,28.0
718.52,9.037,2,50.522415,-84.8111488,9.037,2023-04-24 23:41:18,60.39999999999998,5.0,,8.0,60.39999999999998,1.46,85.0,17.0,13.5,60.0,36.0,196.0,21.0,77.0,13.0,2023,4,24,23,2.37,28.0
727.87,9.287,2,50.5223225,-84.8110958,9.287,2023-04-24 23:41:19,60.39999999999998,5.0,,8.0,60.39999999999998,1.29,88.0,17.0,18.0,72.0,65.5,182.0,13.0,46.5,13.0,2023,4,24,23,2.37,28.0
737.25,9.369,2,50.5222315,-84.8110413,9.369,2023-04-24 23:41:20,60.0,5.0,,8.0,60.0,0.38,90.0,18.0,21.0,61.0,83.0,197.0,10.5,38.0,13.0,2023,4,24,23,2.37,28.0
746.16,9.077,2,50.522145,-84.8109872,9.077,2023-04-24 23:41:21,59.799999999999955,5.0,,8.0,59.799999999999955,0.0,92.0,18.0,20.5,53.0,79.0,216.0,14.5,52.0,13.0,2023,4,24,23,2.37,28.0
755.51,9.146,2,50.5220549,-84.8109255,9.146,2023-04-24 23:41:22,59.39999999999998,5.0,,8.0,59.39999999999998,-0.13,91.0,18.0,18.0,52.0,63.0,171.0,20.5,72.0,13.0,2023,4,24,23,2.37,28.0
764.9,8.96,2,50.5219633,-84.8108614,8.96,2023-04-24 23:41:23,59.200000000000045,5.0,,8.0,59.200000000000045,-0.65,75.0,18.0,17.0,56.0,64.0,160.0,16.5,63.5,13.0,2023,4,24,23,2.37,28.0
773.99,8.913,2,50.5218757,-84.8108047,8.913,2023-04-24 23:41:24,59.200000000000045,5.0,,8.0,59.200000000000045,-1.23,48.0,18.0,19.0,56.0,69.5,149.0,16.5,62.5,13.0,2023,4,24,23,2.37,28.0
782.87,8.892,2,50.5217873,-84.8107581,8.892,2023-04-24 23:41:25,59.0,5.0,,9.0,59.0,-1.72,21.0,18.0,21.5,55.0,74.5,138.0,16.0,61.5,13.0,2023,4,24,23,2.37,28.0
791.53,8.194,2,50.5217013,-84.8107042,8.194,2023-04-24 23:41:26,59.0,5.0,,9.0,59.0,-1.99,0.0,18.0,23.5,55.0,80.0,0.0,16.0,60.5,13.0,2023,4,24,23,2.37,28.0
799.33,7.266,2,50.521623,-84.810664,7.266,2023-04-24 23:41:27,58.799999999999955,5.0,,9.0,58.799999999999955,-2.0,0.0,18.0,26.0,55.0,85.5,0.0,15.5,59.0,13.0,2023,4,24,23,2.37,28.0
806.64,6.802,2,50.5215524,-84.8106274,6.802,2023-04-24 23:41:28,58.60000000000002,5.0,,9.0,58.60000000000002,-1.86,13.0,18.0,28.0,55.0,91.0,3.0,15.5,58.0,13.0,2023,4,24,23,2.37,28.0
813.47,6.67,2,50.5214829,-84.8105922,6.67,2023-04-24 23:41:29,58.60000000000002,5.0,,9.0,58.60000000000002,-1.64,30.0,18.0,30.5,54.0,96.5,64.0,15.0,57.0,13.0,2023,4,24,23,2.37,28.0
820.95,7.607,2,50.5214057,-84.8105624,7.607,2023-04-24 23:41:30,58.60000000000002,5.0,,9.0,58.60000000000002,-1.4,77.0,18.0,31.0,54.0,98.5,212.0,20.5,73.0,13.0,2023,4,24,23,2.37,28.0
829.08,8.241,2,50.5213241,-84.8105206,8.241,2023-04-24 23:41:31,58.200000000000045,5.0,,9.0,58.200000000000045,-1.24,79.0,19.0,29.0,54.0,96.5,281.0,28.5,96.5,13.0,2023,4,24,23,2.37,28.0
837.39,8.665,2,50.5212418,-84.8104821,8.665,2023-04-24 23:41:32,58.0,5.0,,10.0,58.0,-1.32,82.0,19.0,25.0,55.0,91.0,281.0,25.5,89.5,13.0,2023,4,24,23,2.37,28.0
846.11,9.257,2,50.5211535,-84.8104389,9.257,2023-04-24 23:41:33,57.799999999999955,5.0,,10.0,57.799999999999955,-1.56,84.0,19.0,24.0,56.0,88.0,279.0,25.0,87.5,13.0,2023,4,24,23,2.37,28.0
855.16,9.478,2,50.5210587,-84.8104004,9.478,2023-04-24 23:41:34,57.60000000000002,5.0,,10.0,57.60000000000002,-1.85,85.0,19.0,23.5,56.0,85.0,242.0,24.5,85.0,13.0,2023,4,24,23,2.37,28.0
863.02,7.596,2,50.5209814,-84.8103501,7.596,2023-04-24 23:41:35,57.39999999999998,5.0,,10.0,57.39999999999998,-2.09,86.0,20.0,22.5,57.0,82.0,230.0,24.5,83.0,13.0,2023,4,24,23,2.37,28.0
870.03,6.809,2,50.5209192,-84.8102955,6.809,2023-04-24 23:41:36,57.0,5.0,,11.0,57.0,-2.27,87.0,20.0,22.5,58.0,81.5,258.0,25.0,85.0,13.0,2023,4,24,23,2.37,28.0
876.64,6.233,2,50.5208624,-84.8102397,6.233,2023-04-24 23:41:37,56.799999999999955,5.0,,11.0,56.799999999999955,-2.4,66.0,20.0,24.5,59.0,88.0,218.0,29.5,98.0,13.0,2023,4,24,23,2.37,28.0
882.52,5.243,2,50.5208077,-84.8101995,5.243,2023-04-24 23:41:38,56.60000000000002,5.0,,11.0,56.60000000000002,-2.51,46.0,20.0,24.5,66.0,87.0,178.0,30.0,98.0,13.0,2023,4,24,23,2.37,28.0
887.48,4.562,2,50.5207573,-84.8101779,4.562,2023-04-24 23:41:39,56.60000000000002,5.0,,11.0,56.60000000000002,-2.54,25.0,20.0,25.0,73.0,86.0,138.0,31.0,98.0,13.0,2023,4,24,23,2.37,28.0
890.59,3.788,2,50.5207253,-84.8101669,3.788,2023-04-24 23:41:40,56.60000000000002,5.0,,11.0,56.60000000000002,-2.41,5.0,20.0,25.0,80.0,85.0,0.0,31.5,98.0,13.0,2023,4,24,23,2.37,28.0
892.19,2.707,3,50.5207228,-84.8101513,2.707,2023-04-24 23:41:41,56.60000000000002,5.0,,11.0,56.60000000000002,-2.15,16.0,20.0,25.0,87.0,83.5,25.0,32.0,98.0,13.0,2023,4,24,23,2.37,28.0
894.16,2.726,3,50.5207134,-84.8101256,2.726,2023-04-24 23:41:42,56.60000000000002,5.0,,11.0,56.60000000000002,-1.91,20.0,20.0,25.0,93.0,82.5,79.0,33.0,98.0,13.0,2023,4,24,23,2.37,28.0
897.09,3.626,3,50.5207033,-84.8100848,3.626,2023-04-24 23:41:43,56.799999999999955,5.0,,11.0,56.799999999999955,-0.57,26.0,20.0,25.5,99.0,81.5,205.0,33.5,98.0,13.0,2023,4,24,23,2.37,28.0
901.34,4.688,3,50.5206761,-84.8100381,4.688,2023-04-24 23:41:44,56.799999999999955,5.0,,12.0,56.799999999999955,-0.5,47.0,21.0,25.5,46.0,80.5,258.0,34.0,98.0,13.0,2023,4,24,23,2.37,28.0
905.65,4.336,3,50.5206378,-84.8100004,4.336,2023-04-24 23:41:45,56.799999999999955,5.0,,12.0,56.799999999999955,-0.17,51.0,21.0,26.0,53.0,87.0,311.0,29.0,85.5,13.0,2023,4,24,23,2.37,28.0
910.87,4.988,3,50.5205852,-84.8099776,4.988,2023-04-24 23:41:46,56.60000000000002,5.0,,12.0,56.60000000000002,0.02,56.0,21.0,26.5,65.0,98.0,395.0,23.0,74.0,13.0,2023,4,24,23,2.37,28.0
916.93,5.375,3,50.5205194,-84.8099665,5.375,2023-04-24 23:41:47,56.39999999999998,5.0,,12.0,56.39999999999998,0.0,61.0,22.0,26.5,60.0,99.0,454.0,31.0,96.0,13.0,2023,4,24,23,2.37,28.0
923.33,6.172,3,50.5204552,-84.8099359,6.172,2023-04-24 23:41:48,56.200000000000045,5.0,,12.0,56.200000000000045,-0.41,67.0,23.0,24.0,55.0,95.0,550.0,30.0,97.5,13.0,2023,4,24,23,2.37,28.0
931.23,7.529,3,50.5203733,-84.8099066,7.529,2023-04-24 23:41:49,55.799999999999955,5.0,,12.0,55.799999999999955,-1.16,78.0,23.0,22.0,51.0,92.0,565.0,27.0,98.0,13.0,2023,4,24,23,2.37,28.0
940.07,8.421,3,50.5202866,-84.8098576,8.421,2023-04-24 23:41:50,55.60000000000002,5.0,,12.0,55.60000000000002,-1.93,82.0,24.0,22.0,46.0,89.5,549.0,23.0,96.5,13.0,2023,4,24,23,2.37,28.0
949.12,8.592,3,50.5201964,-84.8098101,8.592,2023-04-24 23:41:51,55.60000000000002,5.0,,12.0,55.60000000000002,-2.45,85.0,24.0,23.0,42.0,86.5,505.0,22.0,92.5,12.0,2023,4,24,23,2.37,28.0
957.75,8.485,3,50.5201098,-84.8097579,8.485,2023-04-24 23:41:52,55.60000000000002,5.0,,13.0,55.60000000000002,-2.69,85.0,24.0,24.0,38.0,83.0,442.0,21.0,89.0,12.0,2023,4,24,23,2.37,28.0
966.3,8.452,3,50.5200228,-84.8097173,8.452,2023-04-24 23:41:53,55.60000000000002,5.0,,13.0,55.60000000000002,-2.55,85.0,25.0,26.0,48.0,87.5,359.0,24.5,91.0,12.0,2023,4,24,23,2.37,28.0
974.99,8.58,3,50.5199362,-84.8096809,8.58,2023-04-24 23:41:54,55.799999999999955,5.0,58.0,13.0,55.799999999999955,-2.05,86.0,25.0,29.0,51.0,94.0,381.0,29.5,95.0,12.0,2023,4,24,23,2.37,28.0
983.86,8.783,3,50.5198464,-84.8096374,8.783,2023-04-24 23:41:55,55.799999999999955,5.0,,13.0,55.799999999999955,-0.59,86.0,26.0,29.5,49.0,95.5,349.0,32.5,98.0,12.0,2023,4,24,23,2.37,28.0
992.62,8.739,3,50.5197552,-84.809599,8.739,2023-04-24 23:41:56,55.799999999999955,5.0,,13.0,55.799999999999955,0.0,87.0,26.0,24.5,49.0,83.0,335.0,31.5,99.0,12.0,2023,4,24,23,2.37,28.0
1001.43,8.863,3,50.5196684,-84.8095557,8.863,2023-04-24 23:41:57,55.799999999999955,5.0,,13.0,55.799999999999955,0.0,87.0,26.0,27.0,55.0,94.5,334.0,29.0,91.0,12.0,2023,4,24,23,2.37,28.0
1010.41,8.663,3,50.519579,-84.8095105,8.663,2023-04-24 23:41:58,55.60000000000002,5.0,,13.0,55.60000000000002,0.0,87.0,27.0,27.0,51.0,97.5,340.0,29.5,95.5,12.0,2023,4,24,23,2.37,28.0
1021.69,8.602,3,50.5194585,-84.8094646,8.602,2023-04-24 23:41:59,55.39999999999998,5.0,,13.0,55.39999999999998,0.0,88.0,27.0,27.0,52.0,97.0,366.0,29.0,99.5,12.0,2023,4,24,23,2.37,28.0
1031.33,8.584,3,50.5193633,-84.8094191,8.584,2023-04-24 23:42:00,55.200000000000045,5.0,,13.0,55.200000000000045,0.0,87.0,27.0,26.5,52.0,96.0,347.0,27.5,99.0,12.0,2023,4,24,23,2.37,28.0
1040.41,8.648,3,50.5192748,-84.8093673,8.648,2023-04-24 23:42:01,55.200000000000045,5.0,,13.0,55.200000000000045,0.0,86.0,28.0,26.5,51.0,95.0,325.0,26.5,98.0,12.0,2023,4,24,23,2.37,28.0
