battery_soc,cadence,calories,distance,enhanced_speed,gps_accuracy,left_right_balance,position_lat,position_long,power,speed,timestamp,temperature,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
,79,4,169.55,6.442,3,51.0,50.5119596,-84.8166057,206,6.442,2023-05-25 14:04:10,18.0,23.0,78.0,20.0,69.5,15.399999999999977,0.0,0.0,15.399999999999977,0.0,2023,5,25,14,1.94,192.0
,79,4,176.55,6.93,3,51.0,50.5120203,-84.8165498,181,6.93,2023-05-25 14:04:11,18.0,21.5,73.0,20.5,69.0,15.399999999999977,0.0,0.0,15.399999999999977,0.0,2023,5,25,14,1.94,192.0
,78,4,183.97,7.225,3,54.0,50.5120882,-84.8164946,174,7.225,2023-05-25 14:04:12,18.0,21.5,71.5,20.5,69.0,15.600000000000023,0.0,0.0,15.600000000000023,0.0,2023,5,25,14,1.94,192.0
,78,5,191.54,7.495,3,60.0,50.5121602,-84.8164468,190,7.495,2023-05-25 14:04:13,18.0,26.5,91.5,19.5,69.5,15.600000000000023,0.0,0.0,15.600000000000023,0.0,2023,5,25,14,1.94,192.0
,79,5,199.3,7.697,2,61.0,50.5122327,-84.8163945,205,7.697,2023-05-25 14:04:14,18.0,19.0,73.0,21.5,75.0,15.799999999999955,0.0,0.0,15.799999999999955,0.33,2023,5,25,14,1.94,192.0
,74,5,206.41,7.244,2,61.0,50.5123021,-84.8163468,182,7.244,2023-05-25 14:04:15,18.0,18.5,69.0,19.5,67.0,15.799999999999955,0.0,0.0,15.799999999999955,1.2,2023,5,25,14,1.94,192.0
,60,5,213.05,6.794,2,62.0,50.5123702,-84.8163084,151,6.794,2023-05-25 14:04:16,18.0,20.5,69.5,17.0,59.5,15.600000000000023,0.0,0.0,15.600000000000023,0.87,2023,5,25,14,1.94,192.0
,46,5,219.46,6.497,2,62.0,50.5124354,-84.8162998,120,6.497,2023-05-25 14:04:17,18.0,19.5,63.5,18.5,61.5,15.600000000000023,0.0,0.0,15.600000000000023,0.0,2023,5,25,14,1.94,192.0
,69,5,238.14,6.317,4,62.0,50.5126309,-84.8163555,110,6.317,2023-05-25 14:04:18,18.0,18.0,57.5,19.5,63.5,15.600000000000023,0.0,0.0,15.600000000000023,0.0,2023,5,25,14,1.94,192.0
,79,5,245.63,6.637,4,57.0,50.5126692,-84.8163866,120,6.637,2023-05-25 14:04:19,18.0,20.5,77.0,13.0,49.5,15.600000000000023,0.0,0.0,15.600000000000023,0.0,2023,5,25,14,1.94,192.0
,79,6,252.46,7.465,4,51.0,50.5127201,-84.81644,173,7.465,2023-05-25 14:04:20,18.0,19.5,76.0,12.5,52.0,15.600000000000023,0.0,0.0,15.600000000000023,0.0,2023,5,25,14,1.94,192.0
,75,6,258.03,6.082,3,47.0,50.5127678,-84.8164822,138,6.082,2023-05-25 14:04:21,18.0,16.5,64.5,16.5,63.0,15.399999999999977,0.0,0.0,15.399999999999977,0.0,2023,5,25,14,1.94,192.0
,50,6,264.37,6.269,3,42.0,50.5128302,-84.816519,110,6.269,2023-05-25 14:04:22,18.0,13.0,53.0,20.5,74.0,15.399999999999977,0.0,0.0,15.399999999999977,0.0,2023,5,25,14,1.94,192.0
,26,6,270.48,6.156,3,32.0,50.5128949,-84.8165274,81,6.156,2023-05-25 14:04:23,18.0,13.5,57.5,18.0,66.5,15.200000000000045,0.0,0.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
